Player_ID,Year,Achievements,CoachName
GD-11-MCSU,2010,,Teresa Obrien
CF-73-AWDV,2010,,Richard Hernandez
SL-37-GVYX,2010,,Jeffrey Avila
PE-42-UTAT,2010,,Steven Thomas
BN-21-NJLH,2010,,Christopher Carpenter
LA-84-WLTS,2010,,Ashley Huerta
LB-50-OJRQ,2010,,Amanda Fox
UY-98-WJIP,2010,,Brian Mcintosh
FR-56-GSWF,2010,,Janice Jensen
PS-74-TZSS,2010,,Mary Wiggins
ME-10-UIUV,2010,,Tonya Garcia
SM-35-WTRU,2010,,Jay Oneal
SK-73-BGAP,2010,,Martin Parker
BW-29-KQMM,2010,,Martin Mcdaniel
DM-57-XECI,2010,,Nancy Dunn
CG-86-AMJF,2010,,Leslie Hart
AT-46-VVPY,2010,,Sandy Sanders
SY-38-FCVX,2010,,Robin Jones
PY-33-OEQQ,2010,,David Grimes
CG-03-SHYA,2010,,Andrew Summers
UY-76-ACAP,2010,,Donald Hall
MV-09-ERRA,2010,,Jason Dickerson
US-01-PZRZ,2010,,Jamie Allen
BI-39-PWNY,2010,,Thomas Diaz
NE-30-EJDP,2010,,Pamela Mitchell
BH-00-SPDN,2010,,David Reed
AG-69-VFQD,2010,,Scott Colon
TO-23-KPJC,2010,,Maria Pearson
CI-73-DDVN,2010,,James Kelly
AG-01-UXIE,2010,,Lynn Schneider
BA-46-HOBD,2010,,Tina James
LK-48-GFAN,2010,,Melissa Hatfield
CL-21-YPEN,2010,,Jodi Davis
KE-92-WAHC,2010,,James Blair
MW-96-PLJP,2010,,Amanda Thomas
TJ-03-QKMC,2010,,Miguel Gross
NG-37-TUDL,2010,,Charles Reed
GD-24-YYDQ,2010,,Jessica Jones
ER-91-BELR,2010,,Jonathon Fisher
ET-94-PLBO,2010,,Pamela Gonzales
IE-78-DBMB,2010,,Lori Allen
IQ-63-RQKX,2010,,Natasha Lee
PA-36-PQVX,2010,,Jonathan Sanchez
MY-90-IXMO,2010,,Bruce Hunt
SM-75-TARR,2010,,Nicholas Nelson
ST-89-VJUD,2010,,Christopher Bennett
SZ-90-SHZL,2010,,Lauren Martinez
KG-63-NPRU,2010,,Mary Sanford
NL-80-YBKY,2010,,Jonathan Berg
RW-56-VHBX,2010,,Gina Campbell
KW-05-LASK,2010,,Ms. Madison Hutchinson
IR-30-ZMJJ,2010,,Deanna Davis
MA-16-CPUF,2010,,Christopher Stevens
NR-86-QALK,2010,,Ryan Leonard
RU-15-XKLL,2010,,Kelly Ramirez
CA-97-JDWO,2010,,Christopher Chambers
NO-72-SVLU,2010,,Justin Brewer
PH-45-MUMM,2010,,Edward Ruiz
ER-35-DGSN,2010,,Ethan Gonzalez
CR-08-ARCA,2010,,Jose Jones
SI-27-BNDV,2010,,Nathan Harrison
IQ-86-FKRC,2010,,William Colon
SZ-49-IPDQ,2010,,Aaron Collins
KP-84-JABW,2010,,Elizabeth Martinez
ER-41-HTKZ,2010,,Jacob Mcdaniel
LI-58-XSDH,2010,,Cheryl Robinson
NI-18-BWLH,2010,,Isaac Moore
IT-59-BTTN,2010,,Robert Davis
NE-62-IHMM,2010,,James Short
GM-33-UABS,2010,,Connie Perry MD
AZ-47-QWLH,2010,,Christine Turner
UY-42-PKBY,2010,,Shaun Wilson
BZ-26-LQOR,2010,,David Calhoun
CL-86-BMGQ,2010,,Theodore Rodriguez
LA-96-IKDR,2010,,Ryan Juarez
UY-95-IRHR,2010,,Andrea House
IT-81-JRGZ,2010,,Mark Thompson
SI-91-IWXU,2010,,Amanda Espinoza
GR-09-NTDK,2010,,Jessica Terry
VN-96-RDGX,2010,,Paul Stanley
KI-84-HMSI,2010,,Mary Christian
BW-63-EHYG,2010,,Victoria Martinez
KZ-80-AJMS,2010,,Christian Bowen
TJ-06-ATOI,2010,,Sean Alexander
PG-13-YNZI,2010,,Francis Reed
HR-92-EXFA,2010,"Runner-Up of Collins LLC Chess Meet, 2010 | ",Tracy Baird
BE-59-YWVU,2010,,Christina Gutierrez
UA-70-DWGU,2010,,Gina Montgomery
KH-67-NVBX,2010,,Michael Barton
KW-62-TNZV,2010,,Heidi Kelly DDS
BO-28-TBNO,2010,,James Herrera
LB-12-FNFW,2010,,Michelle Castro
HR-48-WDHS,2010,,John Moore
NR-35-OKYO,2010,,Thomas Lopez
KW-99-OALO,2010,,Marc Frazier
CI-56-JEEV,2010,,Jeremy Fox
US-09-BLZO,2010,,Chris Hart
PA-55-KOZI,2010,,Victoria Ayers
FI-18-FWJQ,2010,,Tammy Davis
MU-19-DRUS,2010,,Walter Spencer
SZ-36-IVIJ,2010,,Erin Robinson
TJ-36-OYEE,2010,,Douglas Miller
MT-47-DKON,2010,,Catherine Jones
LA-10-QYGC,2010,,Cindy Smith
VC-16-BWYN,2010,,Eric Atkinson
